Product URL,Image URL,SKUs
https://www.anipet.co.il/product/13738/%D7%9E%D7%92%D7%A9-(24%D7%99%D7%97)-%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%A9%D7%99%D7%9E%D7%95%D7%A8%D7%99-%D7%94%D7%99%D7%9C%D7%A1-ID-,https://cdn.modulus.co.il/anipet/40606345.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""1990, 52742462806"""
https://www.anipet.co.il/product/14038/%D7%9B%D7%9C%D7%95%D7%91-%D7%9C%D7%90%D7%95%D7%92%D7%A8%D7%99%D7%9D--%D7%99%D7%97%D7%95%D7%93%D7%99-%D7%A2%D7%9D-%D7%97%D7%93%D7%A8-%D7%9B%D7%95%D7%A9%D7%A8-%D7%93%D7%9D-%D7%A7%D7%95%D7%9E%D7%91%D7%99-2,https://cdn.modulus.co.il/anipet/Ferplast_COMBI_2(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010690073101"""
https://www.anipet.co.il/product/13739/%D7%90%D7%95%D7%9B%D7%9C-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-JD,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-jd-original-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""52742048352, 55555"""
https://www.anipet.co.il/product/14037/%D7%9B%D7%9C%D7%95%D7%91-%D7%9C%D7%90%D7%95%D7%92%D7%A8%D7%99%D7%9D-%D7%93%D7%92%D7%9D-%D7%A7%D7%A8%D7%99%D7%A1%D7%99%D7%98%D7%99-9,https://cdn.modulus.co.il/anipet/CRICETI%209.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010690156385"""
https://www.anipet.co.il/product/14594/%D7%A4%D7%A8%D7%9E%D7%99%D7%A0%D7%94-%D7%95%D7%98-%D7%9C%D7%99%D7%99%D7%A3-%D7%9E%D7%96%D7%95%D7%9F-%D7%99%D7%A2%D7%95%D7%93%D7%99-%D7%9C%D7%9B%D7%9C%D7%91-%D7%90%D7%95%D7%91%D7%99%D7%A1%D7%99%D7%98%D7%99,https://cdn.modulus.co.il/anipet/אוביסיטי.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010276025258, 8010276025401"""
https://www.anipet.co.il/product/14598/%D7%A4%D7%A8%D7%9E%D7%99%D7%A0%D7%94-%D7%95%D7%98-%D7%9C%D7%99%D7%99%D7%A3-%D7%9E%D7%96%D7%95%D7%9F-%D7%99%D7%A2%D7%95%D7%93%D7%99-%D7%9C%D7%9B%D7%9C%D7%91-%D7%A1%D7%98%D7%A8%D7%95%D7%95%D7%99%D7%98,https://cdn.modulus.co.il/anipet/סטרוויט%20כלב.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010276025227, 8010276025371"""
https://www.anipet.co.il/product/14602/%D7%A4%D7%A8%D7%9E%D7%99%D7%A0%D7%94-%D7%95%D7%98-%D7%9C%D7%99%D7%99%D7%A3-%D7%9E%D7%96%D7%95%D7%9F-%D7%99%D7%A2%D7%95%D7%93%D7%99-%D7%9C%D7%9B%D7%9C%D7%91-%D7%94%D7%99%D7%A4%D7%95%D7%90%D7%9C%D7%A8%D7%92%D7%A0%D7%99-%D7%91%D7%99%D7%A6%D7%94-%D7%95%D7%90%D7%95%D7%A8%D7%96,https://cdn.modulus.co.il/anipet/ביצה%20כלב.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010276025425"""
https://www.anipet.co.il/product/14613/%D7%A4%D7%A8%D7%9E%D7%99%D7%A0%D7%94-%D7%95%D7%98-%D7%9C%D7%99%D7%99%D7%A3-%D7%9E%D7%96%D7%95%D7%9F-%D7%99%D7%A2%D7%95%D7%93%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%90%D7%95%D7%91%D7%99%D7%A1%D7%99%D7%98%D7%99,https://cdn.modulus.co.il/anipet/חתול%20אוביסיטי.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010276025333, 8010276031891"""
https://www.anipet.co.il/product/14615/%D7%A4%D7%A8%D7%9E%D7%99%D7%A0%D7%94-%D7%95%D7%98-%D7%9C%D7%99%D7%99%D7%A3-%D7%9E%D7%96%D7%95%D7%9F-%D7%99%D7%A2%D7%95%D7%93%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%A8%D7%A0%D7%90%D7%9C,https://cdn.modulus.co.il/anipet/רנל.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010276025302, 8010276031884"""
https://www.anipet.co.il/product/13737/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%9E%D7%92%D7%96%D7%A2-%D7%91%D7%99%D7%A0%D7%95%D7%A0%D7%99-%D7%94%D7%99%D7%9C%D7%A1-%D7%A1%D7%99%D7%99%D7%A0%D7%A1-%D7%A4%D7%9C%D7%90%D7%9F-%D7%9C%D7%99%D7%99%D7%98-%D7%A2%D7%95%D7%A3-,https://cdn.modulus.co.il/anipet/41604359-new.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""1862, 52742025834"""
